labno,unitno,serialno,regno,custid,cust_name,modelid,makeid,make,compartid,compart,compartsn,oiltypeid,oilgradeid,coolantid,notesos,label,last_interpret_date,sampledate,processdate,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,filterchanged,evalcode,Job Site,Sampled Site,dateReported,Confirmed,Problem Solved,Action Taken,jobno,Customer Groups,Market Status,Report Logo,Region,cmu,interpreter,EC,pH,Prec,Soln,NO2,NO3,Cl-,GLY,SO4,Odour,SolInt,SolCol,SolApp,SolCon,PptAmt,PptCol,PptMag,PptApp,OdrOdr,SolFoam,SolOil,SolFuel,S,Cu,Fe,Cr,Pb,Al,Si,Sn,Ni,Na,K,Mo,Ca,Mg,P,Zn,V40,V100,F,WAT,UST,UOXI,USUL,UNIT,PQ,DEP,TAN,Ti,Sb,V,B,Ag,Mn,Cd,Ba,Be,Bi,Li,TH,ISO,PC4,PC6,PC10,PC14,PC50,S_%,GLO,As,Co,In,Ga,Frp,La,Lu,APP,RI,Sc,Se,W,COL,Y,API,FP,TBN,VI,TDS
10003739679,213083,ARN213-083,,0,,Unknown,,ZF,079CBE5,Hub Axle 4 Left,,See Comments,-,,"All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: As oil already changed, resample next recommended service interval to further monitor. Note: Sample Information Form states, Fluid type: Spirax 80W90. ",,2021-10-15 00:00:00,2021-10-06 00:00:00,2021-10-14 00:00:00,0,0,,,Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,1,1,0.99,2,0.99,0.99,8,2,0.99,124,2,2291,88,105,,,99.9,,4.6,,,158,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204891884,213086,ARN213-086,,0,,Unknown,,,088133F,Steering Box,,Nyco FH3,-,,Lead level elevated. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. Note: This is an amended report following changes to sample information. This report supersedes any previous report(s) with this reference. Amendment 01 ,,2021-02-26 00:00:00,2021-02-19 00:00:00,2021-02-24 00:00:00,0.1,1000,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,0.99,33,1,5,0.99,0.99,32,3,2,17,0.99,685,62,16,,,99.9,,98.4,,,9.9,,,,,,4.99,,,,,,,,,22/19/13,22,19,,13,,,,,,,,,,,,,,,,,,,,,,
10204891883,213084,ARN213-084,,0,,Unknown,,,088133B,Steering Box,,Nyco FH3,-,,Lead level elevated. All other wear levels lower than 8 micron appear satisfactory. Oil cleanliness rating exceeds considered recommended limit. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Advise check sampling procedure for possible source of contamination. Resample at a reduced service interval to monitor and establish wear trend. Note: This is an amended report following changes to sample information. This report supersedes any previous report(s) with this reference. Amendment 01 ,,2021-02-26 00:00:00,2021-02-19 00:00:00,2021-02-24 00:00:00,,1907,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0.99,34,1,5,0.99,0.99,27,2,1,15,1,629,55,16,,,99.9,,100.3,,,9.9,,,,,,4.99,,,,,,,,,22/21/20,22,21,,20,,,,,,,,,,,,,,,,,,,,,,
10204848111,213083,ARN213-083,,0,,Unknown,,,079CBDC,Differential Axle 4,,SAE,SAE 80W90,,All wear levels within normal limits for run-in period. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Oil in use appears to be the original or factory fill. Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-11-17 00:00:00,2020-11-02 00:00:00,2020-11-16 00:00:00,,6412,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,46,2,1,1,3,2,5,3,1,1,30,3,375,11,90,,,99.9,,7.6,,,9.9,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003667793,213084,ARN213-084,,0,,Unknown,,MTU,07BA351,Engine,,DD Premium Plus,SAE 15W40,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2021-05-10 00:00:00,2021-05-05 00:00:00,2021-05-07 00:00:00,0,400,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0.99,2,4,9,1,0.99,4,1,37,3126,6,990,1042,,13.2,1,99.9,11.8,10.6,19.7,,9.9,,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,
10003667785,213083,ARN213-083,,0,,Unknown,,MTU,079CBD6,Engine,,DD Premium Plus,SAE 15W40,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2021-05-10 00:00:00,2021-04-15 00:00:00,2021-05-07 00:00:00,0,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0.99,4,3,10,1,1,4,0.99,37,3185,7,997,1059,,13.3,1,99.9,31.1,10.7,20.3,,9.9,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,
10204779286,213084,ARN213-084,,0,,Unknown,,MTU,07BA351,Engine,,Premium Plus CI-4,SAE 15W40,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2020-06-29 00:00:00,2020-04-27 00:00:00,2020-06-26 00:00:00,,89,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.99,1,2,10,0.99,0.99,2,0.99,39,3318,7,939,1028,,12.4,2,99.9,43.9,19.7,28.2,,9.9,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,
10204828954,213084,ARN213-084,,0,,Unknown,,MTU,07BA351,Engine,,DD Premium Plus,SAE 15W40,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2020-10-08 00:00:00,2020-09-23 00:00:00,2020-10-07 00:00:00,,600,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0.99,1,0.99,6,1,0.99,0.99,1,35,3014,6,912,991,,12.2,2,99.9,37.5,18.6,27.2,,30,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,
10003667237,213085,ARN213-085,,0,,Unknown,,MTU,07B6F52,Engine,,DD Premium Plus,SAE 15W40,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2021-05-07 00:00:00,2021-04-15 00:00:00,2021-05-06 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0.99,1,3,11,1,0.99,1,1,42,3361,8,910,1086,,14,1,99.9,31.1,11.4,21.1,,9.9,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,
10204751651,213083,ARN213-083,,537756,POC Andrew Gorine,Unknown,,MTU,079CBD6,Engine,,Premium Plus CI-4,SAE 15W40,,"All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: As oil already changed, resample next recommended service interval to further monitor. Note: This is an amended report following changes to sample information (compartment). This report supersedes any previous report(s) with this reference. Amendment 1. ",,2020-05-05 00:00:00,2020-04-27 00:00:00,2020-05-04 00:00:00,0,5000,,,Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,1,1,3,10,1,0.99,2,0.99,38,3216,9,909,1048,,12.8,1,99.9,140,16.8,28.7,,9.9,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,
10204828952,213083,ARN213-083,,0,,Unknown,,MTU,079CBD6,Engine,,DD Premium Plus,SAE 15W40,,Lack of information regarding time on oil limits accuracy of diagnosis. All wear rates normal. Moderate concentration of water present. Other contaminant levels acceptable. Viscosity within specified operating range.Action: Check all water access points (breathers/seals). Resample at a reduced service interval to further monitor. ,,2020-10-08 00:00:00,2020-09-18 00:00:00,2020-10-07 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,27,1,1,1,9,1,0.99,0.99,1,34,3093,9,904,1005,,12.9,1,300,120.8,18,31.4,,9.9,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,
10204847877,213083,ARN213-083,,0,,Unknown,,MTU,079CBD6,Engine,,DD Premium Plus,SAE 15W40,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2020-11-17 00:00:00,2020-11-13 00:00:00,2020-11-16 00:00:00,,5000,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27,1,1,3,9,1,0.99,1,0.99,36,3075,9,880,1032,,12.6,1,99.9,159.3,18.5,30.6,,9.9,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,
10204765402,213085,ARN213-085,,537756,POC Andrew Gorine,Unknown,,MTU,07B6F52,Engine,,Premium Plus CI-4,SAE 15W40,,All wear rates normal. Soot/solids level exceeds tolerance limit. Other contaminant levels acceptable. Viscosity within specified operating range.Action: Check source of soot/solids (poor combustion/operation/restricted air intake/over-fueling/extended oil drain interval). resample at a reduced service interval to further monitor. Note: This is an amended report following changes to sample information. This report supersedes any previous report(s) with this reference. Amendment 1.,,2020-06-03 00:00:00,2020-05-05 00:00:00,2020-05-29 00:00:00,0,6033,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31,2,0.99,3,11,2,0.99,2,1,35,3672,9,886,960,,12.8,1,100,165.7,19,34.3,,9.9,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,
10204828953,213085,ARN213-085,,0,,Unknown,,MTU,07B6F52,Engine,,DD Premium Plus,SAE 15W40,,Lack of information regarding time on oil limits accuracy of diagnosis. All wear rates normal. Moderate concentration of water present. Other contaminant levels acceptable. Viscosity within specified operating range.Action: Check all water access points (breathers/seals). Resample at a reduced service interval to further monitor. ,,2020-10-08 00:00:00,2020-09-18 00:00:00,2020-10-07 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,35,2,1,1,8,2,0.99,1,0.99,32,3011,8,884,975,,12.5,1,200,133.6,19.5,33.3,,9.9,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,
10204767135,213085,ARN213-085,,0,,Unknown,,MTU,07B6F52,Engine,,Premium Plus CI-4,SAE 15W40,,"All wear rates normal. Soot/solids content exceeds tolerance limit. Moderate concentration of water present. Other contaminant levels acceptable. Viscosity within specified operating range.Action: Check all water access points (breathers/seals). Check source of soot/solids (poor combustion/operation/restricted air intake/over-fueling/extended oil drain interval). As oil and filter(s) already changed, resample at a reduced service interval to further monitor. ",,2020-06-03 00:00:00,2020-05-05 00:00:00,2020-06-02 00:00:00,,6033,,,Changed,Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,1,0.99,2,9,1,0.99,1,1,34,3211,7,953,1114,,12.9,1,400,165.7,19,34.6,,9.9,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,
10204929387,213094,ARN213-094,,0,,Unknown,,,07E7C7A,Hub Axle 3 Left,,Unidentified,-,,Chromium level abnormal. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ,,2021-05-18 00:00:00,2021-05-10 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,305,8,0.99,2,3,4,3,15,0.99,0.99,100,1,943,104,109,,,99.9,,7.8,,,299,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204929388,213094,ARN213-094,,0,,Unknown,,,07E7C3F,Hub Axle 3 Right,,Unidentified,-,,Chromium level abnormal. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ,,2021-05-18 00:00:00,2021-05-10 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,240,8,1,1,3,4,2,19,0.99,0.99,105,1,976,85,110,,,99.9,,6.8,,,233,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204929389,213094,ARN213-094,,0,,Unknown,,,07E7C90,Hub Axle 4 Right,,Unidentified,-,,Chromium level abnormal. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ,,2021-05-18 00:00:00,2021-05-10 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,288,8,0.99,2,4,4,2,16,0.99,0.99,106,2,964,86,114,,,99.9,,6.5,,,299,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204929384,213094,ARN213-094,,0,,Unknown,,,07E7C7A,Hub Axle 3 Left,,Unidentified,-,,Chromium level abnormal. All other wear levels within limits. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor. ,,2021-05-18 00:00:00,2021-05-11 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,338,9,1,2,4,4,3,16,0.99,0.99,101,1,1055,100,116,,,100,,7.5,,,367,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204929385,213094,ARN213-094,,0,,Unknown,,,07E7C14,Hub Axle 1 Left,,Unidentified,-,,Chromium level abnormal. All other wear levels appear satisfactory for first sample. PQ Index number (ferrous material) higher than typical. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ,,2021-05-18 00:00:00,2021-05-10 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,448,11,1,8,4,5,3,15,0.99,0.99,99,1,949,82,116,,,99.9,,7,,,507,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204929386,213094,ARN213-094,,0,,Unknown,,,07E7C53,Hub Axle 2 Left,,Unidentified,-,,"As oil brand/grade/time on oil unknown, diagnosis is limited. However, Chromium level elevated. All other wear levels appear satisfactory for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to monitor and establish wear trend. ",,2021-05-18 00:00:00,2021-05-10 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,5,0.99,0.99,4,3,1,13,0.99,0.99,94,1,931,77,115,,,99.9,,6.8,,,153,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204806619,213088,ARN213-088,,537756,POC Andrew Gorine,Unknown,,ZF,07E7B90,Hub Axle 4 Right,,SAE,SAE 15W40,,All wear levels within normal limits for run-in period. Moderate concentration of visible wear metals present. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. Note: This is an amended report following changes to sample information (unit). This report supersedes any previous report(s) with this reference. Amendment 02 ,,2020-10-08 00:00:00,2020-08-21 00:00:00,2020-08-25 00:00:00,0,100,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,106,6,0.99,2,2,2,1,17,0.99,0.99,129,1,942,106,103,,,99.9,,7.5,,,143,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204811900,213099,ARN213-099,,0,,Unknown,,ZF,08226A0,Differential Axle 4,,SAE,SAE 80W90,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-09-04 00:00:00,2020-08-31 00:00:00,2020-09-03 00:00:00,,100,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0.99,0.99,0.99,5,0.99,0.99,3,1,0.99,63,1,924,47,126,,,99.9,,6.8,,,20,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204929383,213094,ARN213-094,,0,,Unknown,,,07E7C53,Hub Axle 2 Left,,Unidentified,-,,Chromium level abnormal. All other wear levels within limits. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Advise inspect filter/strainer for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor. ,,2021-05-18 00:00:00,2021-05-11 00:00:00,2021-05-17 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,198,6,0.99,0.99,4,3,1,13,0.99,0.99,90,2,1046,73,113,,,99.9,,6.8,,,194,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
